ID tarea,Código,Problema,Responsable,Dirección,Fecha de reporte,Tiempo en cuarentena,Estado,Resultado,Subtipo del resultado,Responsable,Dirección de origen
13716013,XSKR89522,Dañado,priscila,MS-2-013-054-03-03,2023-10-29 0:24:16,1 hs 2 min,Terminada,Reacondicionado,Packaging con corte,Facundo,MS-2-013-054-03-03
13715825,SFLS86776,Dañado,Facundo,DN-0-027-008-01-01,2023-10-29 0:09:12,3 hs 14 min,Terminada,Dañado,Está roto,Facundo,MS-0-017-013-03-07
13715064,RHUF78996,Dañado,ricardo,MS-1-011-017-03-03,2023-10-28 23:16:19,1 hs 47 min,Terminada,Reacondicionado,Packaging con corte,Facundo,MS-1-011-017-03-03
13715016,LBWR76207,Dañado,vizcarra,MS-1-040-063-04-04,2023-10-28 23:06:37,1 hs 36 min,Terminada,Reacondicionado,Packaging con corte,Facundo,MS-1-040-063-04-04
13714908,UZAL39246,Dañado,luana,MS-1-026-072-01-05,2023-10-28 22:49:36,1 hs 56 min,Terminada,Reacondicionado,Packaging con corte,Facundo,MS-1-026-072-01-05
13713832,XUFA73576,Dañado,Fernando,MS-0-014-040-03-03,2023-10-28 19:54:58,4 hs 24 min,Terminada,En buen estado,En buen estado,Facundo,MS-0-014-040-03-03
13713650,MIFD81874,Dañado,Fernando,KA-0-001-000-00-00,2023-10-28 19:32:45,7 hs 47 min,Terminada,Dañado,Está roto,Facundo,MS-0-002-002-02-03
13713649,MIFD81874,Dañado,Fernando,KA-0-001-000-00-00,2023-10-28 19:32:45,7 hs 47 min,Terminada,Dañado,Está roto,Facundo,MS-0-002-002-02-03
13713648,MIFD81874,Dañado,Fernando,KA-0-001-000-00-00,2023-10-28 19:32:45,7 hs 47 min,Terminada,Dañado,Está roto,Facundo,MS-0-002-002-02-03
13713647,MIFD81874,Dañado,Fernando,KA-0-001-000-00-00,2023-10-28 19:32:45,7 hs 47 min,Terminada,Dañado,Está roto,Facundo,MS-0-002-002-02-03
13712641,LMNN11172,Dañado,lucas,MS-2-047-025-01-01,2023-10-28 16:42:36,9 hs 49 min,Terminada,En buen estado,En buen estado,Facundo,MS-2-047-025-01-01
13712177,QSKM49380,Dañado,Tatiana,DN-0-027-008-01-01,2023-10-28 16:00:34,11 hs 22 min,Terminada,Dañado,Está roto,Facundo,MS-0-020-016-01-03
13712010,HKMH62784,Dañado,Romina,EE-0-002-000-00-00,2023-10-28 15:31:21,1 hs 16 min,Terminada,Reacondicionado,Packaging con corte,ludmila,QuP-0-001-000-00-00
13711796,JMYB34989,Dañado,matias,EE-0-002-000-00-00,2023-10-28 15:01:24,10 hs 29 min,Terminada,En buen estado,En buen estado,Facundo,QuP-0-001-000-00-00
